;Single acting cylinder;Single acting cylinder;Pressure at Rod end;Pressure at cap end
;PIston ;PIston ;Pressure at rod end ;Pressure at Cap end
t;x;v;p;p
[s];[mm];[m/s];[bar];[bar]
7.42;114.21178;-0.00906;0.86176;0.99966
7.43;114.12120;-0.00906;0.86176;0.99966
7.44;114.03062;-0.00906;0.86176;0.99966
7.45;113.94004;-0.00906;0.86176;0.99966
7.46;113.84946;-0.00906;0.86176;0.99966
7.47;113.75888;-0.00906;0.86176;0.99966
7.48;113.66830;-0.00906;0.86176;0.99966
7.49;113.57772;-0.00906;0.86176;0.99966
7.50;113.48714;-0.00906;0.86176;0.99966
7.51;113.39656;-0.00906;0.86176;0.99966
7.52;113.30598;-0.00906;0.86176;0.99966
7.53;113.21540;-0.00906;0.86176;0.99966
7.54;113.12481;-0.00906;0.86176;0.99966
7.55;113.03423;-0.00906;0.86176;0.99966
7.56;112.94365;-0.00906;0.86176;0.99966
7.57;112.85307;-0.00906;0.86176;0.99966
7.58;112.76249;-0.00906;0.86176;0.99966
7.59;112.67191;-0.00906;0.86176;0.99966
7.60;112.58133;-0.00906;0.86176;0.99966
7.61;112.49075;-0.00906;0.86176;0.99966
7.62;112.40017;-0.00906;0.86176;0.99966
7.63;112.30959;-0.00906;0.86176;0.99966
7.64;112.21901;-0.00906;0.86176;0.99966
7.65;112.12843;-0.00906;0.86176;0.99966
7.66;112.03785;-0.00906;0.86176;0.99966
7.67;111.94727;-0.00906;0.86176;0.99966
7.68;111.85669;-0.00906;0.86176;0.99966
7.69;111.76611;-0.00906;0.86176;0.99966
7.70;111.67553;-0.00906;0.86176;0.99966
7.71;111.58495;-0.00906;0.86176;0.99966
7.72;111.49437;-0.00906;0.86176;0.99966
7.73;111.40378;-0.00906;0.86176;0.99966
7.74;111.31320;-0.00906;0.86176;0.99966
7.75;111.22262;-0.00906;0.86176;0.99966
7.76;111.13204;-0.00906;0.86176;0.99966
7.77;111.04146;-0.00906;0.86176;0.99966
7.78;10.95088;-0.00906;0.86176;0.99966
7.79;10.86030;-0.00906;0.86176;0.99966
7.80;10.76972;-0.00906;0.86176;0.99966
7.81;10.67914;-0.00906;0.86176;0.99966
7.82;10.58856;-0.00906;0.86176;0.99966
7.83;10.49798;-0.00906;0.86176;0.99966
7.84;10.40740;-0.00906;0.86176;0.99966
7.85;10.31682;-0.00906;0.86176;0.99966
7.86;10.22624;-0.00906;0.86176;0.99966
7.87;10.13566;-0.00906;0.86176;0.99966
7.88;10.04508;-0.00906;0.86176;0.99966
7.89;9.95450;-0.00906;0.86176;0.99966
7.90;9.86392;-0.00906;0.86176;0.99966
7.91;9.77334;-0.00906;0.86176;0.99966
7.92;9.68276;-0.00906;0.86176;0.99966
7.93;9.59218;-0.00906;0.86176;0.99966
7.94;9.50160;-0.00906;0.86176;0.99966
7.95;9.41101;-0.00906;0.86176;0.99966
7.96;9.32043;-0.00906;0.86176;0.99966
7.97;9.22985;-0.00906;0.86176;0.99966
7.98;9.13927;-0.00906;0.86176;0.99966
7.99;9.04869;-0.00906;0.86176;0.99966
8.00;8.95811;-0.00906;0.86176;0.99966
8.01;8.86753;-0.00906;0.86176;0.99966
8.02;8.77695;-0.00906;0.86176;0.99966
8.03;8.68637;-0.00906;0.86176;0.99966
8.04;8.59579;-0.00906;0.86176;0.99966
8.05;8.50521;-0.00906;0.86176;0.99966
8.06;8.41463;-0.00906;0.86176;0.99966
8.07;8.32405;-0.00906;0.86176;0.99966
8.08;8.23347;-0.00906;0.86176;0.99966
8.09;8.14288;-0.00906;0.86176;0.99966
8.10;8.05230;-0.00906;0.86176;0.99966
8.11;7.96172;-0.00906;0.86176;0.99966
8.12;7.87114;-0.00906;0.86176;0.99966
8.13;7.78056;-0.00906;0.86176;0.99966
8.14;7.68998;-0.00906;0.86176;0.99966
8.15;7.59940;-0.00906;0.86176;0.99966
8.16;7.50882;-0.00906;0.86176;0.99966
8.17;7.41824;-0.00906;0.86176;0.99966
8.18;7.32766;-0.00906;0.86176;0.99966
8.19;7.23708;-0.00906;0.86176;0.99966
8.20;7.14650;-0.00906;0.86176;0.99966
8.21;7.05592;-0.00906;0.86176;0.99966
8.22;6.96534;-0.00906;0.86176;0.99966
8.23;6.87476;-0.00906;0.86176;0.99966
8.24;6.78418;-0.00906;0.86176;0.99966
8.25;6.69360;-0.00906;0.86176;0.99966
8.26;6.60302;-0.00906;0.86176;0.99966
8.27;6.51244;-0.00906;0.86176;0.99966
8.28;6.42186;-0.00906;0.86176;0.99966
8.29;6.33128;-0.00906;0.86176;0.99966
8.30;6.24070;-0.00906;0.86176;0.99966
8.31;6.15011;-0.00906;0.86176;0.99966
8.32;6.05953;-0.00906;0.86176;0.99966
8.33;5.96895;-0.00906;0.86176;0.99966
8.34;5.87837;-0.00906;0.86176;0.99966
8.35;5.78779;-0.00906;0.86176;0.99966
8.36;5.69721;-0.00906;0.86176;0.99966
8.37;5.60663;-0.00906;0.86176;0.99966
8.38;5.51605;-0.00906;0.86176;0.99966
8.39;5.42547;-0.00906;0.86176;0.99966
8.40;5.33489;-0.00906;0.86176;0.99966
8.41;5.24431;-0.00906;0.86176;0.99966
8.42;5.15373;-0.00906;0.86176;0.99966
8.43;5.06315;-0.00906;0.86176;0.99966
8.44;4.97257;-0.00906;0.86176;0.99966
8.45;4.88199;-0.00906;0.86176;0.99966
8.46;4.79141;-0.00906;0.86176;0.99966
8.47;4.70083;-0.00906;0.86176;0.99966
8.48;4.61025;-0.00906;0.86176;0.99966
8.49;4.51967;-0.00906;0.86176;0.99966
8.50;4.42909;-0.00906;0.86176;0.99966
8.51;4.33851;-0.00906;0.86176;0.99966
8.52;4.24792;-0.00906;0.86176;0.99966
8.53;4.15734;-0.00906;0.86176;0.99966
8.54;4.06676;-0.00906;0.86176;0.99966
8.55;3.97618;-0.00906;0.86176;0.99966
8.56;3.88560;-0.00906;0.86176;0.99966
8.57;3.79502;-0.00906;0.86176;0.99966
8.58;3.70444;-0.00906;0.86176;0.99966
8.59;3.61386;-0.00906;0.86176;0.99966
8.60;3.52328;-0.00906;0.86176;0.99966
8.61;3.43270;-0.00906;0.86176;0.99966
8.62;3.34212;-0.00906;0.86176;0.99966
8.63;3.25154;-0.00906;0.86176;0.99966
8.64;3.16096;-0.00906;0.86176;0.99966
8.65;3.07038;-0.00906;0.86176;0.99966
8.66;2.97980;-0.00906;0.86176;0.99966
8.67;2.88922;-0.00906;0.86176;0.99966
8.68;2.79864;-0.00906;0.86176;0.99966
8.69;2.70806;-0.00906;0.86176;0.99966
8.70;2.61748;-0.00906;0.86176;0.99966
8.71;2.52690;-0.00906;0.86176;0.99966
8.72;2.43631;-0.00906;0.86176;0.99966
8.73;2.34573;-0.00906;0.86176;0.99966
8.74;2.25515;-0.00906;0.86176;0.99966
8.75;2.16457;-0.00906;0.86176;0.99966
8.76;2.07399;-0.00906;0.86176;0.99966
8.77;1.98341;-0.00906;0.86176;0.99966
8.78;1.89283;-0.00906;0.86176;0.99966
8.79;1.80225;-0.00906;0.86176;0.99966
8.80;1.71167;-0.00906;0.86176;0.99966
8.81;1.62109;-0.00906;0.86176;0.99966
8.82;1.53051;-0.00906;0.86176;0.99966
8.83;1.43993;-0.00906;0.86176;0.99966
8.84;1.34935;-0.00906;0.86176;0.99966
8.85;1.25877;-0.00906;0.86176;0.99966
8.86;1.16819;-0.00906;0.86176;0.99966
8.87;1.07761;-0.00906;0.86176;0.99966
8.88;0.98703;-0.00906;0.86176;0.99966
8.89;0.89645;-0.00906;0.86176;0.99966
8.90;0.80586;-0.00906;0.86176;0.99966
8.91;0.71528;-0.00906;0.86176;0.99966
8.92;0.62470;-0.00906;0.86176;0.99966
8.93;0.53412;-0.00906;0.86176;0.99966
8.94;0.44354;-0.00906;0.86176;0.99966
8.95;0.37374;-0.00000;0.26134;1.61697
10.96;0.37374;0.00000;0.26134;1.61697
10.97;0.43982;0.01619;16.38653;0.99922
10.98;0.77421;0.04877;27.38968;5.12629
10.99;1.41552;0.09073;27.31483;14.92653
11.00;2.41350;0.09903;20.33572;27.83653
11.01;3.41659;0.09807;22.53449;37.89183
11.02;4.40000;0.09903;33.12762;45.52477
11.03;5.41300;0.10522;39.89164;49.58430
11.04;6.51720;0.11544;37.87541;53.15640
11.05;7.66020;0.11219;34.16012;56.72350
11.06;8.74540;0.10594;35.34186;58.11487
11.07;9.77660;0.10145;40.47706;58.93670
11.08;10.82940;0.10682;42.25263;59.93894
11.09;11.91020;0.11076;41.88145;61.37939
11.10;13.02100;0.10952;39.63990;63.10356
11.11;14.09200;0.10579;40.68638;63.68131
11.12;15.14450;0.10493;42.70006;63.83420
11.13;16.19620;0.10706;44.31560;63.99468
11.14;17.28260;0.10854;43.24651;64.79207
11.15;18.36680;0.10827;42.52438;65.43004
11.16;19.44140;0.10619;42.70733;65.73073
11.17;20.50070;0.10608;43.75492;65.69786
11.18;21.56340;0.10694;44.39623;65.75099
11.19;22.63890;0.10814;44.01217;66.06977
11.20;23.71800;0.10755;43.55071;66.36996
11.21;24.78970;0.10683;43.63317;66.48036
11.22;25.85470;0.10631;44.16912;66.43177
11.23;26.92250;0.10697;44.34561;66.46783
11.24;27.99380;0.10748;44.27292;66.57215
11.25;29.06930;0.10739;43.95992;66.73674
11.26;30.14030;0.10692;44.01266;66.77196
11.27;31.20840;0.10675;44.22413;66.74826
11.28;32.27590;0.10695;44.43670;66.71857
11.29;33.34780;0.10721;44.32176;66.78637
11.30;34.42000;0.10727;44.21020;66.84895
11.31;35.49170;0.10701;44.16585;66.88444
11.32;36.56070;0.10689;44.28182;66.86269
11.33;37.62980;0.10696;44.38042;66.84500
11.34;38.70020;0.10711;44.37020;66.86152
11.35;39.77190;0.10717;44.28721;66.89940
11.36;40.84290;0.10705;44.26326;66.91547
11.37;41.91310;0.10697;44.30033;66.90938
11.38;42.98280;0.10698;44.34922;66.89822
11.39;44.05290;0.10707;44.36319;66.89868
11.40;45.12400;0.10712;44.32194;66.91738
11.41;46.19480;0.10707;44.30043;66.92790
11.42;47.26520;0.10700;44.31296;66.92582
11.43;48.33520;0.10700;44.34631;66.91615
11.44;49.40550;0.10705;44.34997;66.91694
11.45;50.47610;0.10709;44.33981;66.92240
11.46;51.54690;0.10707;44.31909;66.93119
11.47;52.61730;0.10703;44.32354;66.93035
11.48;53.68760;0.10702;44.33632;66.92642
11.49;54.75780;0.10704;44.34856;66.92275
11.50;55.82830;0.10706;44.34120;66.92626
11.51;56.89890;0.10706;44.33292;66.92989
11.52;57.96950;0.10704;44.32696;66.93244
11.53;59.03980;0.10703;44.33453;66.92980
11.54;60.11020;0.10703;44.34113;66.92757
11.55;61.18060;0.10705;44.34202;66.92759
11.56;62.25110;0.10706;44.33658;66.92994
11.57;63.32160;0.10705;44.33326;66.93135
11.58;64.39210;0.10704;44.33377;66.93119
11.59;65.46240;0.10704;44.33800;66.92962
11.60;66.53280;0.10704;44.33990;66.92900
11.61;67.60330;0.10705;44.33832;66.92979
11.62;68.67380;0.10705;44.33587;66.93082
11.63;69.74420;0.10704;44.33493;66.93120
11.64;70.81470;0.10704;44.33677;66.93045
11.65;71.88510;0.10704;44.33844;66.92983
11.66;72.95550;0.10705;44.33844;66.92990
11.67;74.02600;0.10704;44.33701;66.93054
11.68;75.09640;0.10704;44.33627;66.93084
11.69;76.16690;0.10704;44.33639;66.93078
11.70;77.23730;0.10704;44.33762;66.93026
11.71;78.30770;0.10704;44.33804;66.93012
11.72;79.37820;0.10704;44.33762;66.93033
11.73;80.44860;0.10704;44.33676;66.93071
11.74;81.51910;0.10704;44.33673;66.93071
11.75;82.58950;0.10704;44.33705;66.93056
11.76;83.65990;0.10704;44.33765;66.93030
11.77;84.73040;0.10705;44.33758;66.93031
11.78;85.80080;0.10705;44.33726;66.93051
11.79;86.87130;0.10704;44.33688;66.93065
11.80;87.94170;0.10704;44.33702;66.93062
11.81;89.01220;0.10704;44.33727;66.93047
11.82;90.08260;0.10704;44.33752;66.93041
11.83;91.15300;0.10704;44.33736;66.93044
11.84;92.22350;0.10705;44.33717;66.93055
11.85;93.29390;0.10705;44.33704;66.93061
11.86;94.36440;0.10704;44.33716;66.93054
11.87;95.43480;0.10704;44.33734;66.93046
11.88;96.50520;0.10704;44.33735;66.93044
11.89;97.57570;0.10704;44.33729;66.93050
11.90;98.64620;0.10704;44.33716;66.93056
11.91;99.71660;0.10704;44.33716;66.93056
11.92;100.78700;0.10704;44.33723;66.93052
11.93;101.85750;0.10704;44.33730;66.93047
11.94;102.92790;0.10704;44.33732;66.93048
11.95;103.99840;0.10704;44.33725;66.93052
11.96;105.06880;0.10704;44.33718;66.93055
11.97;106.13920;0.10704;44.33719;66.93054
11.98;107.20970;0.10704;44.33725;66.93051
11.99;108.28010;0.10704;44.33730;66.93049
12.00;109.35060;0.10704;44.33729;66.93049
12.01;110.42100;0.10704;44.33724;66.93052
12.02;111.49150;0.10704;44.33720;66.93054
12.03;112.56190;0.10704;44.33721;66.93053
12.04;113.63230;0.10704;44.33725;66.93051
12.05;114.70280;0.10704;44.33729;66.93049
12.06;115.77320;0.10704;44.33728;66.93050
12.07;116.84370;0.10704;44.33724;66.93052
12.08;117.91410;0.10704;44.33721;66.93053
12.09;118.98460;0.10704;44.33722;66.93052
12.10;120.05500;0.10704;44.33725;66.93051
12.11;121.12540;0.10704;44.33727;66.93050
12.12;122.19590;0.10704;44.33726;66.93051
12.13;123.26630;0.10704;44.33724;66.93052
12.14;124.33680;0.10704;44.33722;66.93053
12.15;125.40720;0.10704;44.33724;66.93052
12.16;126.47770;0.10704;44.33725;66.93051
12.17;127.54810;0.10704;44.33726;66.93051
12.18;128.61860;0.10704;44.33726;66.93051
12.19;129.68900;0.10704;44.33724;66.93052
12.20;130.75940;0.10704;44.33723;66.93052
12.21;131.82990;0.10704;44.33723;66.93052
12.22;132.90030;0.10704;44.33724;66.93052
12.23;133.97080;0.10704;44.33726;66.93051
12.24;135.04120;0.10704;44.33726;66.93051
12.25;136.11170;0.10704;44.33725;66.93051
12.26;137.18210;0.10704;44.33724;66.93052
12.27;138.25250;0.10704;44.33723;66.93052
12.28;139.32300;0.10704;44.33723;66.93052
12.29;140.39340;0.10704;44.33725;66.93051
12.30;141.46390;0.10704;44.33726;66.93051
12.31;142.53430;0.10704;44.33726;66.93051
12.32;143.60470;0.10704;44.33725;66.93051
12.33;144.67520;0.10704;44.33724;66.93052
12.34;145.74560;0.10704;44.33724;66.93052
12.35;146.81610;0.10704;44.33724;66.93052
12.36;147.88650;0.10704;44.33725;66.93051
12.37;148.95690;0.10704;44.33725;66.93051
12.38;150.02740;0.10704;44.33725;66.93051
14.38;250.02740;0.00000;0.00000;0.00000
